molecule_id,preferred_name,descriptor_name,descriptor_value,unit,software,software_version,calculation_date,config_hash,notes
8,2-methylfuran,RadiusOfGyration,1.5509769497295316,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,Asphericity,0.37023199162470777,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,Eccentricity,0.9550254745894727,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,InertialShapeFactor,0.012388961476528364,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,SpherocityIndex,0.08955352193433744,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,PMI1,58.091897792417846,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,PMI2,140.99591384823714,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,PMI3,195.90975414619814,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,NPR1,0.29652376445261946,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
8,2-methylfuran,NPR2,0.7196982838486877,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,RadiusOfGyration,1.7287878154790235,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,Asphericity,0.3483064622063885,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,Eccentricity,0.9477619860582778,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,InertialShapeFactor,0.007590434096569276,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,SpherocityIndex,3.5613385765323232e-12,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,PMI1,89.721034961819,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,PMI2,191.55517619363718,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,PMI3,281.2762111551802,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,NPR1,0.3189783970473062,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
9,phenol,NPR2,0.681021602953675,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,RadiusOfGyration,2.041348685685607,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,Asphericity,0.294447753304989,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,Eccentricity,0.9271371218726545,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,InertialShapeFactor,0.0032690309533430326,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,SpherocityIndex,0.0453971617285124,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,PMI1,193.2268365762951,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,PMI2,325.7200185445306,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,PMI3,515.6535051425832,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,NPR1,0.3747222401268581,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
10,guaiacol,NPR2,0.6316645097844644,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,RadiusOfGyration,2.3975774064641673,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,Asphericity,0.4347092830496145,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,Eccentricity,0.9679967581780718,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,InertialShapeFactor,0.0034141463099156095,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,SpherocityIndex,0.051869562622669514,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,PMI1,221.57658217492352,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,PMI2,667.9141906731614,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,PMI3,882.9064370566441,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,NPR1,0.2509626987357755,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
11,syringol,NPR2,0.756494870396228,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,RadiusOfGyration,1.8401961824324495,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,Asphericity,0.2773513669947783,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,Eccentricity,0.9145307545606972,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,InertialShapeFactor,0.003947942439123666,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,SpherocityIndex,1.1469498663144804e-12,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,PMI1,150.83391730041453,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,PMI2,222.04076964483303,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
12,catechol,PMI3,372.8746869450473,,RDKit,2026.03.6,2026-09-17,160c6e9753e3649b,3D on minimum-energy ETKDGv3 conformer after FF optimization
